"Topic","Keywords"
"9","0.048*ou + 0.029*business + 0.026*mas + 0.018*class + 0.016*issue + 0.016*one + 0.015*time + 0.014*pls + 0.013*o + 0.013*hours"
"8","0.085*malaysia + 0.053*airlines + 0.027*fly + 0.026*know + 0.026*nothing + 0.023*hey + 0.020*still + 0.018*flight + 0.015*airlines. + 0.012*airlines:"
"7","0.049*malaysia + 0.030*airlines + 0.020*till + 0.014*experience + 0.013*news + 0.013*flight. + 0.013*topic + 0.012*airline + 0.012*hat + 0.011*hope"
"6","0.051*airlines + 0.051*malaysia + 0.022*flight + 0.022*bad + 0.022*going + 0.017*lost + 0.016*time + 0.016*thing + 0.012*getting + 0.012*took"
"5","0.039*malaysia + 0.035*airlines + 0.023*go + 0.021*wrong + 0.015*fly + 0.013*got + 0.012*much + 0.012*malaysian + 0.011*starts + 0.011*tweet"
"4","0.036*malaysia + 0.029*airlines + 0.028*flight + 0.025*missing + 0.021*find + 0.017*one + 0.015*klia + 0.014*plane + 0.013*need + 0.013*ticket"
"3","0.080*malaysia + 0.072*airlines + 0.033*want + 0.032*know + 0.025*u + 0.025*go + 0.017*where? + 0.014*somewhere, + 0.014*thought + 0.014*plane"
"2","0.020*flight + 0.019*3 + 0.018*sad + 0.017*u + 0.016*open + 0.016*airlines + 0.016*god + 0.014*hanks + 0.014*kl + 0.013*absolutely"
"1","0.029*malaysia + 0.027*airlines + 0.023*airport + 0.021*flight + 0.016*delay + 0.015*late + 0.014*passengers + 0.014*without + 0.014*one + 0.012*jala"
"0","0.031*bab + 0.023*call + 0.022*airlines + 0.021*consultmystic + 0.021*mh370 + 0.018*e + 0.018*all. + 0.018*check + 0.017*always + 0.017*malaysia"
